,OFI,TF,TI,VOL,pi,mu,SIGN,SIGN_RAT,VAL,VAL_RAT,IS
0,18.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012345679012345679,1800.0
1,157.0,914.0,0.0,0.0,0.0,0.0,0.0,-0.007575757575757576,0.0,-0.003787878787878788,3000.0
2,50.0,500.0,0.0,0.0,0.0,0.0,1.0,-0.014218009478672985,0.5,-0.002369668246445498,1400.0
3,-50.0,100.0,0.0,0.0,0.0,0.0,0.0,-0.012345679012345678,0.0,-0.00205761316872428,1500.0
4,50.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.011764705882352941,0.0,-0.0058823529411764705,3900.0
5,50.0,100.0,0.0,0.0,0.0,0.0,0.0,-0.002849002849002849,0.0,-0.0014245014245014246,1400.0
6,0.0,400.0,0.0,0.0,0.0,0.0,0.0,-0.00273224043715847,0.0,-0.001366120218579235,2200.0
7,100.5,235.0,0.0,0.0,0.0,0.0,1.0,-0.003838771593090211,0.5,-0.0019193857965451055,1000.0
8,-50.0,300.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.5,-0.0010438413361169101,2200.0
9,19.0,590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011061946902654867,1000.0
10,0.0,200.0,0.0,0.0,0.0,0.0,-1.0,-0.007462686567164179,-5.5,0.0,1500.0
11,-50.0,100.0,0.0,0.0,0.0,0.0,0.0,-0.014285714285714285,0.0,-0.002380952380952381,3500.0
12,-52.5,3305.0,100.0,100.0,0.030257186081694403,50.0,-1.0,0.0,-0.5,-0.0008460236886632825,2500.0
13,705.0,3084.0,-447.0,447.0,0.14494163424124515,111.75,1.0,-0.006535947712418301,0.5,-0.0016339869281045752,800.0
14,0.0,200.0,0.0,0.0,0.0,0.0,0.0,-0.01910828025477707,0.0,-0.0031847133757961785,3600.0
15,50.0,2300.0,0.0,0.0,0.0,0.0,0.0,-0.013043478260869565,0.0,-0.002173913043478261,3100.0
16,50.0,100.0,0.0,0.0,0.0,0.0,0.0,-0.002793296089385475,0.0,-0.0013966480446927375,1800.0
17,-19.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0016806722689075631,0.5,0.0,1800.0
18,50.0,100.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.5,0.0,1100.0
19,0.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009615384615384616,4900.0
20,0.0,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011037527593818985,1000.0
21,171.5,1417.0,-143.0,143.0,0.10091743119266056,35.75,0.0,-0.00303951367781155,0.0,-0.001519756838905775,1700.0
22,-98.0,1596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010416666666666666,2500.0
23,0.0,600.0,0.0,0.0,0.0,0.0,1.0,-0.012987012987012988,0.5,-0.0021645021645021645,3600.0
24,68.0,136.0,0.0,0.0,0.0,0.0,-1.0,0.002331002331002331,-0.5,0.0,1200.0
25,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03571428571428571,3600.0
26,50.0,100.0,0.0,0.0,0.0,0.0,0.0,-0.01744186046511628,0.0,-0.0029069767441860465,1500.0
27,-8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010504201680672268,1000.0
28,0.0,36.0,0.0,0.0,0.0,0.0,-1.0,0.0047169811320754715,-1.5,0.0023584905660377358,1400.0
29,-100.0,200.0,0.0,0.0,0.0,0.0,1.0,-0.014634146341463415,0.5,-0.004878048780487805,4000.0
30,0.0,600.0,0.0,0.0,0.0,0.0,0.0,-0.0027247956403269754,0.0,-0.0013623978201634877,1800.0
31,317.0,1234.0,-234.0,234.0,0.18962722852512157,58.5,0.0,0.0,0.0,-0.001152073732718894,2600.0
32,50.0,518.0,-100.0,100.0,0.19305019305019305,50.0,1.0,-0.0029069767441860465,1.0,-0.0014534883720930232,900.0
33,-50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100.0
34,-50.0,100.0,0.0,0.0,0.0,0.0,0.0,-0.013333333333333334,0.0,-0.0022222222222222222,2600.0
35,159.5,551.0,0.0,0.0,0.0,0.0,-1.0,0.0021321961620469083,-2.0,0.0031982942430703624,1000.0
36,99.5,801.0,0.0,0.0,0.0,0.0,-1.0,-0.0019569471624266144,-1.0,-0.0009784735812133072,2200.0
37,100.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0048543689320388345,1900.0
38,-4.5,9.0,0.0,0.0,0.0,0.0,0.0,-0.002967359050445104,0.0,-0.001483679525222552,1000.0
39,54.5,109.0,0.0,0.0,0.0,0.0,0.0,-0.002857142857142857,0.0,-0.0014285714285714286,1400.0
40,100.0,3130.0,-100.0,100.0,0.03194888178913738,25.0,0.0,-0.125,0.0,-0.0625,1500.0
41,-12.5,1237.0,-3.0,3.0,0.002425222312045271,1.5,0.0,-0.003205128205128205,0.0,-0.0016025641025641025,2100.0
42,-100.0,954.0,400.0,400.0,0.4192872117400419,50.0,0.0,0.0,0.0,-0.029411764705882353,1700.0
43,100.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010615711252653928,1000.0
44,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023809523809523808,2600.0
45,51.5,103.0,-3.0,3.0,0.02912621359223301,1.5,0.0,-0.003076923076923077,0.0,-0.0015384615384615385,1900.0
46,-100.0,628.0,0.0,0.0,0.0,0.0,0.0,-0.007874015748031496,0.0,-0.003937007874015748,3700.0
47,-107.0,414.0,0.0,0.0,0.0,0.0,1.0,-0.02040816326530612,0.5,-0.00510204081632653,1300.0
48,-50.0,100.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.5,-0.005434782608695652,1100.0
49,-300.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010706638115631692,1700.0
